Nome,Partido
ZENAIDE MAIA,PSD
IVETE DA SILVEIRA,MDB
BETO MARTINS,PL
CARLOS VIANA,PODEMOS
ANGELO CORONEL,PSD
DAVI ALCOLUMBRE,UNIÃO
FERNANDO FARIAS,MDB
SORAYA THRONICKE,PODEMOS
ROGERIO MARINHO,PL
WILDER MORAIS,PL
CIRO NOGUEIRA,PP
EFRAIM FILHO,UNIÃO
FLÁVIO BOLSONARO,PL
ROGÉRIO CARVALHO,PT
SÉRGIO PETECÃO,PSD
RODRIGO CUNHA,PODEMOS
CLEITINHO,REPUBLICANOS
LEILA BARROS,PDT
JAYME CAMPOS,UNIÃO
JUSSARA LIMA,PSD
CHICO RODRIGUES,PSB
DAMARES ALVES,REPUBLICANOS
DANIELLA RIBEIRO,PSD
FABIANO CONTARATO,PT
MARA GABRILLI,PSD
ROMÁRIO,PL
WELLINGTON FAGUNDES,PL
MARCELO CASTRO,MDB
CARLOS FÁVARO,PSD
ELIZIANE GAMA,PSD
HUMBERTO COSTA,PT
JORGE SEIF,PL
TERESA LEITÃO,PT
ALAN RICK,UNIÃO
AUGUSTA BRITO,PT
EDUARDO GOMES,PL
RENAN CALHEIROS,MDB
MAGNO MALTA,PL
ALESSANDRO VIEIRA,MDB
EDUARDO GIRÃO,NOVO
WEVERTON,PDT
MARCIO BITTAR,UNIÃO
DR. HIRAN,PP
IZALCI LUCAS,PL
VENEZIANO VITAL DO RÊGO,MDB
JORGE KAJURU,PSB
LAÉRCIO OLIVEIRA,PP
ESPERIDIÃO AMIN,PP
RANDOLFE RODRIGUES,S/Partido
ASTRONAUTA MARCOS PONTES,PL
BETO FARO,PT
FERNANDO DUEIRE,MDB
SERGIO MORO,UNIÃO
PROFESSORA DORINHA SEABRA,UNIÃO
OMAR AZIZ,PSD
TEREZA CRISTINA,PP
MARCOS DO VAL,PODEMOS
LUIS CARLOS HEINZE,PP
MARGARETH BUZETTI,PSD
ORIOVISTO GUIMARÃES,PODEMOS
MECIAS DE JESUS,REPUBLICANOS
IRAJÁ,PSD
VANDERLAN CARDOSO,PSD
PAULO PAIM,PT
JAIME BAGATTOLI,PL
ZEQUINHA MARINHO,PODEMOS
JAQUES WAGNER,PT
ANA PAULA LOBATO,PSB
FLÁVIO ARNS,PSB
MARCOS ROGÉRIO,PL
HAMILTON MOURÃO,REPUBLICANOS
CASTELLAR NETO,PP
EDUARDO BRAGA,MDB
GIORDANO,MDB
OTTO ALENCAR,PSD
RODRIGO PACHECO,PSD
CARLOS PORTINHO,PL
STYVERSON VALENTIM,PODEMOS
CID GOMES,PSB
JADER BARBALHO,MDB
LUCAS BARRETO,PSD
PLÍNIO VALÉRIO,PSDB
CONFÚCIO MOURA,MDB
NELSINHO TRAD,PSD
